Action: Buy Fuel create...
Action: Buy Item create...
Action: Select Spaceship create...
Action: Sell Item created...
Action: Planning Travel created...
Action: Select Planet created...


Player Nuri Can is created...
---[PlayerImpl{m_name='Nuri Can', m_currentMoney=1000000.0
m_spaceShip=null
m_currentPlanet=null}]

Player John is created...
---[PlayerImpl{m_name='John', m_currentMoney=1000000.0
m_spaceShip=null
m_currentPlanet=null}]

Player Anastasia is created...
---[PlayerImpl{m_name='Anastasia', m_currentMoney=1000000.0
m_spaceShip=null
m_currentPlanet=null}]


Blackhole PKS B1424-418 is created....

Galaxy Cartwheel is created...

-----Planets are creating...

Commodity{m_name='Lithium', m_unitVolume=10, m_decayRatio=0.59, m_currentSupplyAmount=226, m_unitBuyPrice=430.98, m_unitSellPrice=330.98} is created...
Commodity{m_name='Titanium', m_unitVolume=11, m_decayRatio=0.57, m_currentSupplyAmount=299, m_unitBuyPrice=920.98, m_unitSellPrice=820.98} is created...
Commodity{m_name='Platinum', m_unitVolume=10, m_decayRatio=0.6, m_currentSupplyAmount=298, m_unitBuyPrice=387.12, m_unitSellPrice=287.12} is created...
Commodity{m_name='Gold', m_unitVolume=10, m_decayRatio=0.42, m_currentSupplyAmount=187, m_unitBuyPrice=1149.43, m_unitSellPrice=1049.43} is created...
Commodity{m_name='Silver', m_unitVolume=11, m_decayRatio=0.56, m_currentSupplyAmount=150, m_unitBuyPrice=781.82, m_unitSellPrice=681.82} is created...
Commodity{m_name='Helium-3', m_unitVolume=7, m_decayRatio=0.24, m_currentSupplyAmount=285, m_unitBuyPrice=352.87, m_unitSellPrice=252.87} is created...
Commodity{m_name='Water', m_unitVolume=14, m_decayRatio=0.22, m_currentSupplyAmount=278, m_unitBuyPrice=829.37, m_unitSellPrice=729.37} is created...
Commodity{m_name='Food', m_unitVolume=13, m_decayRatio=0.48, m_currentSupplyAmount=254, m_unitBuyPrice=1117.58, m_unitSellPrice=1017.5799999999999} is created...
Commodity{m_name='Oxygen', m_unitVolume=10, m_decayRatio=0.41, m_currentSupplyAmount=280, m_unitBuyPrice=1314.45, m_unitSellPrice=1214.45} is created...
Commodity{m_name='Hydrogen', m_unitVolume=6, m_decayRatio=0.67, m_currentSupplyAmount=232, m_unitBuyPrice=282.92, m_unitSellPrice=182.92000000000002} is created...
Commodity{m_name='Carbon', m_unitVolume=8, m_decayRatio=0.5, m_currentSupplyAmount=187, m_unitBuyPrice=1348.2, m_unitSellPrice=1248.2} is created...
Commodity{m_name='Iron', m_unitVolume=10, m_decayRatio=0.31, m_currentSupplyAmount=223, m_unitBuyPrice=496.93, m_unitSellPrice=396.93} is created...
Commodity{m_name='Copper', m_unitVolume=10, m_decayRatio=0.64, m_currentSupplyAmount=195, m_unitBuyPrice=1494.2, m_unitSellPrice=1394.2} is created...
Commodity{m_name='Nickel', m_unitVolume=6, m_decayRatio=0.33, m_currentSupplyAmount=167, m_unitBuyPrice=179.03, m_unitSellPrice=79.03} is created...
Commodity{m_name='Aluminum', m_unitVolume=5, m_decayRatio=0.31, m_currentSupplyAmount=273, m_unitBuyPrice=1205.36, m_unitSellPrice=1105.36} is created...
Commodity{m_name='Tungsten', m_unitVolume=8, m_decayRatio=0.3, m_currentSupplyAmount=245, m_unitBuyPrice=713.02, m_unitSellPrice=613.02} is created...
Commodity{m_name='Palladium', m_unitVolume=8, m_decayRatio=0.48, m_currentSupplyAmount=275, m_unitBuyPrice=1438.68, m_unitSellPrice=1338.68} is created...
Commodity{m_name='Rhodium', m_unitVolume=7, m_decayRatio=0.33, m_currentSupplyAmount=270, m_unitBuyPrice=908.67, m_unitSellPrice=808.67} is created...
Commodity{m_name='Iridium', m_unitVolume=9, m_decayRatio=0.21, m_currentSupplyAmount=249, m_unitBuyPrice=999.25, m_unitSellPrice=899.25} is created...
Commodity{m_name='Cobalt', m_unitVolume=7, m_decayRatio=0.26, m_currentSupplyAmount=216, m_unitBuyPrice=452.56, m_unitSellPrice=352.56} is created...
Commodity{m_name='Mercury', m_unitVolume=14, m_decayRatio=0.47, m_currentSupplyAmount=243, m_unitBuyPrice=1225.24, m_unitSellPrice=1125.24} is created...
Commodity{m_name='Lead', m_unitVolume=12, m_decayRatio=0.59, m_currentSupplyAmount=236, m_unitBuyPrice=1354.2, m_unitSellPrice=1254.2} is created...
Commodity{m_name='Zinc', m_unitVolume=12, m_decayRatio=0.5, m_currentSupplyAmount=262, m_unitBuyPrice=903.59, m_unitSellPrice=803.59} is created...
Commodity{m_name='Tin', m_unitVolume=5, m_decayRatio=0.43, m_currentSupplyAmount=172, m_unitBuyPrice=834.96, m_unitSellPrice=734.96} is created...
Commodity{m_name='Beryllium', m_unitVolume=10, m_decayRatio=0.3, m_currentSupplyAmount=223, m_unitBuyPrice=1362.42, m_unitSellPrice=1262.42} is created...
Commodity{m_name='Uranium', m_unitVolume=13, m_decayRatio=0.51, m_currentSupplyAmount=179, m_unitBuyPrice=382.87, m_unitSellPrice=282.87} is created...
Commodity{m_name='Thorium', m_unitVolume=13, m_decayRatio=0.6, m_currentSupplyAmount=258, m_unitBuyPrice=1348.47, m_unitSellPrice=1248.47} is created...
Commodity{m_name='Plutonium', m_unitVolume=9, m_decayRatio=0.36, m_currentSupplyAmount=274, m_unitBuyPrice=330.03, m_unitSellPrice=230.02999999999997} is created...
Commodity{m_name='Neptunium', m_unitVolume=9, m_decayRatio=0.37, m_currentSupplyAmount=172, m_unitBuyPrice=1145.8, m_unitSellPrice=1045.8} is created...
Commodity{m_name='Radium', m_unitVolume=8, m_decayRatio=0.24, m_currentSupplyAmount=259, m_unitBuyPrice=157.15, m_unitSellPrice=57.150000000000006} is created...
Commodity{m_name='Neon', m_unitVolume=7, m_decayRatio=0.31, m_currentSupplyAmount=283, m_unitBuyPrice=1062.02, m_unitSellPrice=962.02} is created...
Commodity{m_name='Argon', m_unitVolume=11, m_decayRatio=0.52, m_currentSupplyAmount=227, m_unitBuyPrice=737.69, m_unitSellPrice=637.69} is created...
Commodity{m_name='Krypton', m_unitVolume=10, m_decayRatio=0.35, m_currentSupplyAmount=259, m_unitBuyPrice=1209.51, m_unitSellPrice=1109.51} is created...
Commodity{m_name='Xenon', m_unitVolume=8, m_decayRatio=0.25, m_currentSupplyAmount=250, m_unitBuyPrice=639.92, m_unitSellPrice=539.92} is created...
Commodity{m_name='Nitrogen', m_unitVolume=9, m_decayRatio=0.37, m_currentSupplyAmount=170, m_unitBuyPrice=938.41, m_unitSellPrice=838.41} is created...
Commodity{m_name='Carbon Dioxide', m_unitVolume=13, m_decayRatio=0.62, m_currentSupplyAmount=176, m_unitBuyPrice=796.4, m_unitSellPrice=696.4} is created...
Commodity{m_name='Methane', m_unitVolume=9, m_decayRatio=0.25, m_currentSupplyAmount=167, m_unitBuyPrice=763.29, m_unitSellPrice=663.29} is created...
Commodity{m_name='Ammonia', m_unitVolume=6, m_decayRatio=0.28, m_currentSupplyAmount=243, m_unitBuyPrice=259.15, m_unitSellPrice=159.14999999999998} is created...
Commodity{m_name='Sulfur', m_unitVolume=8, m_decayRatio=0.54, m_currentSupplyAmount=177, m_unitBuyPrice=1288.01, m_unitSellPrice=1188.01} is created...
Commodity{m_name='Chlorine', m_unitVolume=13, m_decayRatio=0.54, m_currentSupplyAmount=239, m_unitBuyPrice=1351.77, m_unitSellPrice=1251.77} is created...
Commodity{m_name='Sodium', m_unitVolume=8, m_decayRatio=0.26, m_currentSupplyAmount=271, m_unitBuyPrice=418.45, m_unitSellPrice=318.45} is created...
Commodity{m_name='Potassium', m_unitVolume=10, m_decayRatio=0.59, m_currentSupplyAmount=215, m_unitBuyPrice=1196.47, m_unitSellPrice=1096.47} is created...
Commodity{m_name='Magnesium', m_unitVolume=14, m_decayRatio=0.42, m_currentSupplyAmount=189, m_unitBuyPrice=690.46, m_unitSellPrice=590.46} is created...
Commodity{m_name='Calcium', m_unitVolume=7, m_decayRatio=0.43, m_currentSupplyAmount=286, m_unitBuyPrice=308.85, m_unitSellPrice=208.85000000000002} is created...
Commodity{m_name='Phosphorus', m_unitVolume=10, m_decayRatio=0.37, m_currentSupplyAmount=289, m_unitBuyPrice=898.81, m_unitSellPrice=798.81} is created...
Commodity{m_name='Selenium', m_unitVolume=7, m_decayRatio=0.31, m_currentSupplyAmount=274, m_unitBuyPrice=1067.85, m_unitSellPrice=967.8499999999999} is created...
Commodity{m_name='Fluorine', m_unitVolume=6, m_decayRatio=0.59, m_currentSupplyAmount=226, m_unitBuyPrice=1302.98, m_unitSellPrice=1202.98} is created...
Commodity{m_name='Bromine', m_unitVolume=5, m_decayRatio=0.55, m_currentSupplyAmount=209, m_unitBuyPrice=254.54, m_unitSellPrice=154.54} is created...
Commodity{m_name='Iodine', m_unitVolume=10, m_decayRatio=0.21, m_currentSupplyAmount=180, m_unitBuyPrice=548.03, m_unitSellPrice=448.03} is created...
Commodity{m_name='Lithium', m_unitVolume=5, m_decayRatio=0.67, m_currentSupplyAmount=169, m_unitBuyPrice=311.51, m_unitSellPrice=211.51} is created...
Commodity{m_name='Rubidium', m_unitVolume=12, m_decayRatio=0.7, m_currentSupplyAmount=152, m_unitBuyPrice=509.2, m_unitSellPrice=409.2} is created...
Commodity{m_name='Cesium', m_unitVolume=8, m_decayRatio=0.7, m_currentSupplyAmount=158, m_unitBuyPrice=854.31, m_unitSellPrice=754.31} is created...
Commodity{m_name='Boron', m_unitVolume=6, m_decayRatio=0.55, m_currentSupplyAmount=183, m_unitBuyPrice=485.56, m_unitSellPrice=385.56} is created...
Commodity{m_name='Silicon', m_unitVolume=14, m_decayRatio=0.5, m_currentSupplyAmount=284, m_unitBuyPrice=1089.96, m_unitSellPrice=989.96} is created...
Commodity{m_name='Germanium', m_unitVolume=10, m_decayRatio=0.3, m_currentSupplyAmount=244, m_unitBuyPrice=1001.57, m_unitSellPrice=901.57} is created...
Commodity{m_name='Arsenic', m_unitVolume=5, m_decayRatio=0.47, m_currentSupplyAmount=212, m_unitBuyPrice=908.82, m_unitSellPrice=808.82} is created...
Commodity{m_name='Antimony', m_unitVolume=12, m_decayRatio=0.34, m_currentSupplyAmount=254, m_unitBuyPrice=1272.16, m_unitSellPrice=1172.16} is created...
Commodity{m_name='Bismuth', m_unitVolume=5, m_decayRatio=0.59, m_currentSupplyAmount=162, m_unitBuyPrice=1385.99, m_unitSellPrice=1285.99} is created...
Commodity{m_name='Cadmium', m_unitVolume=13, m_decayRatio=0.52, m_currentSupplyAmount=265, m_unitBuyPrice=728.78, m_unitSellPrice=628.78} is created...
Commodity{m_name='Gallium', m_unitVolume=12, m_decayRatio=0.59, m_currentSupplyAmount=190, m_unitBuyPrice=818.98, m_unitSellPrice=718.98} is created...
Commodity{m_name='Indium', m_unitVolume=7, m_decayRatio=0.59, m_currentSupplyAmount=281, m_unitBuyPrice=266.64, m_unitSellPrice=166.64} is created...
Commodity{m_name='Thallium', m_unitVolume=5, m_decayRatio=0.41, m_currentSupplyAmount=205, m_unitBuyPrice=1144.71, m_unitSellPrice=1044.71} is created...
Commodity{m_name='Lanthanum', m_unitVolume=12, m_decayRatio=0.61, m_currentSupplyAmount=177, m_unitBuyPrice=454.76, m_unitSellPrice=354.76} is created...
Commodity{m_name='Cerium', m_unitVolume=8, m_decayRatio=0.28, m_currentSupplyAmount=165, m_unitBuyPrice=610.71, m_unitSellPrice=510.71000000000004} is created...
Commodity{m_name='Praseodymium', m_unitVolume=9, m_decayRatio=0.39, m_currentSupplyAmount=280, m_unitBuyPrice=367.15, m_unitSellPrice=267.15} is created...
Commodity{m_name='Neodymium', m_unitVolume=9, m_decayRatio=0.21, m_currentSupplyAmount=204, m_unitBuyPrice=251.86, m_unitSellPrice=151.86} is created...
Commodity{m_name='Promethium', m_unitVolume=10, m_decayRatio=0.36, m_currentSupplyAmount=212, m_unitBuyPrice=1012.29, m_unitSellPrice=912.29} is created...
Commodity{m_name='Samarium', m_unitVolume=12, m_decayRatio=0.58, m_currentSupplyAmount=280, m_unitBuyPrice=465.77, m_unitSellPrice=365.77} is created...
Commodity{m_name='Europium', m_unitVolume=10, m_decayRatio=0.34, m_currentSupplyAmount=290, m_unitBuyPrice=1224.78, m_unitSellPrice=1124.78} is created...



---------Market Meteorite Store is created...

Planet Tyche is created...

Commodity{m_name='Lithium', m_unitVolume=9, m_decayRatio=0.38, m_currentSupplyAmount=157, m_unitBuyPrice=1092.57, m_unitSellPrice=992.5699999999999} is created...
Commodity{m_name='Titanium', m_unitVolume=7, m_decayRatio=0.3, m_currentSupplyAmount=156, m_unitBuyPrice=565.31, m_unitSellPrice=465.30999999999995} is created...
Commodity{m_name='Platinum', m_unitVolume=13, m_decayRatio=0.61, m_currentSupplyAmount=279, m_unitBuyPrice=1386.04, m_unitSellPrice=1286.04} is created...
Commodity{m_name='Gold', m_unitVolume=14, m_decayRatio=0.37, m_currentSupplyAmount=219, m_unitBuyPrice=1202.38, m_unitSellPrice=1102.38} is created...
Commodity{m_name='Silver', m_unitVolume=11, m_decayRatio=0.31, m_currentSupplyAmount=228, m_unitBuyPrice=734.35, m_unitSellPrice=634.35} is created...
Commodity{m_name='Helium-3', m_unitVolume=6, m_decayRatio=0.3, m_currentSupplyAmount=219, m_unitBuyPrice=884.24, m_unitSellPrice=784.24} is created...
Commodity{m_name='Water', m_unitVolume=5, m_decayRatio=0.43, m_currentSupplyAmount=167, m_unitBuyPrice=888.96, m_unitSellPrice=788.96} is created...
